N,P,K,temperature,humidity,ph,rainfall,label
91,19,105,39.84525519196927,14.246313119511818,7.663828139274805,299.9247597353157,mungbean
46,45,153,22.53181004525331,39.66049094347971,3.680258981439362,75.94914544253348,maize
128,16,68,22.238135316142827,26.222845785480807,6.163564134971615,146.2309084212314,maize
105,34,20,25.02225333965634,30.37116834616531,8.055317420653358,61.370197701456306,blackgram
130,121,61,11.351395788268782,96.61829673164182,7.340682883515896,185.46820521281958,kidneybeans
93,26,17,36.40113815097265,25.011237141487452,3.561086134898443,227.26046793208099,maize
110,124,201,19.78168452321526,81.45437105865454,8.62826428088264,277.8715934897236,maize
58,121,29,40.679528740251165,18.669811395337014,9.89245924220415,260.9194474032501,mothbeans
100,140,48,33.973234349105326,88.91562879977288,3.6946878824529783,263.7311920855556,lentil
66,121,28,30.954955625505278,33.99156141091574,9.417162419100674,219.19871655356604,pigeonpeas
88,68,188,31.970244837503685,62.703482533582275,8.574218720656088,223.800646099369,rice
52,27,108,8.040592685549832,41.94795203809407,6.937518248212385,92.70899077303659,chickpea
76,5,77,39.05386835991854,59.77366099828859,8.469484003589713,286.9159293031046,mothbeans
127,143,184,39.887446226815364,55.08663657808073,5.314060399366454,263.5321757575525,rice
21,40,106,31.280146994403918,58.37515851384494,7.359287700539271,260.56658770340675,rice
44,13,55,24.62242367693039,60.437152448564326,6.464539454055342,279.31833555065487,lentil
41,93,17,39.389135521256264,32.69119241967098,4.86073371611369,64.66160675113973,rice
69,48,155,29.93707787754519,51.89356317550061,9.850138562077007,134.048916899381,pomegranate
86,143,65,25.953336064959174,33.47168457961928,6.165584043409963,176.73423766647448,mungbean
89,18,124,27.198821651229487,50.402911711621165,4.517934990360827,186.9118367444646,lentil
73,92,114,32.57482293530515,23.19800511928556,6.111346998656851,128.19691785079408,lentil
18,133,44,8.491665147612533,19.111101221921533,5.930429252909063,279.78935513478865,mungbean
109,78,54,8.165780495563284,24.892244276823067,5.982927939494338,284.99641449091644,mothbeans
124,35,124,29.225965710274085,86.13862987041276,7.272043725672402,279.90681946174004,mothbeans
101,90,128,10.3358843854619,70.0982057745446,7.1663897173133115,85.72416780348227,mothbeans
122,22,73,30.84756164439926,53.14895791750936,7.8949799889689425,63.68463292114651,kidneybeans
48,137,73,11.564927714939913,51.94874978218477,3.855225572386815,119.39499803226826,chickpea
108,60,120,26.73772335575765,73.84671247192264,8.779949832568647,42.29147221618015,mungbean
47,64,189,18.169052962776206,79.61450842715459,9.628904756632709,103.29448346221908,chickpea
112,99,131,40.898971216216665,32.17091832057267,5.399247872494772,151.9849648521266,pomegranate
49,55,141,33.753627909555505,51.11432450097292,7.015742926459847,67.01759592130855,pomegranate
79,72,131,25.793113542141487,84.195129753451,8.329018675938809,200.0895007480225,kidneybeans
107,136,77,37.49225964345058,55.4345080227596,8.578095868706269,145.55205869494515,maize
118,136,50,22.174996209811496,83.3466726327149,8.725413681830666,184.3699171946758,pomegranate
122,18,55,11.493749624648018,29.03778942765023,4.715907509402884,150.1602897005173,lentil
138,57,120,34.23717476843001,85.68388642633117,8.799210199062355,217.90447258418348,blackgram
34,122,81,23.385961275955324,29.136982942150915,7.017611967797199,160.86657503248057,chickpea
130,132,121,34.50996596172412,95.69586106937459,7.45801181558636,296.06072431323054,lentil
128,20,129,26.74633408638115,89.3373683577771,8.895543230998996,62.988414145622016,rice
100,21,64,16.579304889120927,14.253361301471603,5.3390032576822035,281.1455658319631,pigeonpeas
63,137,56,8.259021618266626,72.46462586798201,3.876697109014942,168.37654843168997,pomegranate
118,54,144,41.41861566747843,21.924410368305615,7.103675762403899,98.96806170529523,blackgram
118,139,125,41.50880663863413,21.59812983906832,7.397975426698508,36.28923752477218,maize
43,70,107,20.308427491914898,56.28454447895185,3.6064018057668554,199.19026013272648,kidneybeans
39,104,104,38.245485338589155,67.13013483238132,3.7928754750081084,59.451826028237555,lentil
83,18,28,38.21490696064457,54.482837802908904,9.832563265512476,225.01064813652994,rice
96,104,83,11.13384069574114,97.365958615469,6.6964166548556046,94.96814023043176,mothbeans
83,19,131,40.394340466858715,64.24567067398044,4.813908433839165,118.25070209860135,pigeonpeas
24,33,20,18.051100874729904,48.17070581620503,5.459935884332428,239.39809425700463,rice
82,42,52,33.999776204131074,90.83435327470919,9.655384831696193,93.79149505783306,lentil
54,88,96,38.688784797865566,77.36461179968859,6.979667743278698,182.87620876077028,pomegranate
17,19,150,23.856545494771346,35.88415366024151,8.65434197313279,186.90604375264328,maize
127,58,172,28.620678028195275,33.34135217890443,8.764433467967404,175.57376149075216,mungbean
58,16,52,19.612546946397803,69.95467170032178,8.890619636734431,152.35824937642414,chickpea
132,127,117,18.56196369388433,68.87594888459796,5.880262996258095,203.7931903982431,maize
89,84,197,13.880854589261741,55.421024251868,9.438053192099009,195.14871643855062,pomegranate
132,64,184,25.31367470589947,34.64861400373443,7.82357151240097,244.63947604113645,lentil
